%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	ethVlanID	srcIP	srcIPCC	srcIPWho	srcPort	dstIP	dstIPCC	dstIPWho	dstPort	l4Proto	macPairs	srcMac_dstMac_numP	srcManuf_dstManuf	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipTOS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSz0	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpTmS	tcpTmER	tcpEcI	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStates	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmptmgtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	5	0x0000000000008000	1448922453.889836	1448922453.889836	0.000000	1	3	eth:ipv6:udp	0	fe80::21c:c0ff:feb0:195b	01	"private_reserved"	5353	ff02::fb	04	"multicast"	5353	17	1	00:1c:c0:b0:19:5b_33:33:00:00:00:fb_1	IntelCor_	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0100	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	6	0x0000000000004000	1448922468.410511	1448922468.410511	0.000000	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	5353	224.0.0.251	04	"Multicast"	5353	17	1	00:1c:c0:b0:19:5b_01:00:5e:00:00:fb_1	IntelCor_	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0100	65535	0	255	255	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5
A	3	0x0000000000004001	1448921092.970719	1448924672.490731	3579.520012	1	3	eth:ipv4:icmp	0	10.10.10.3	00	"private_reserved"	0	10.10.10.2	00	"private_reserved"	0	1	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_120	IntelCor_IntelCor	0	unknown	120	0	6240	0	52	52	52	0	0	30.08002	29.82933	2.19095	0.03352405	1.74325	1	1	0x0100	1	1	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x01	120	0x00000000_0x00000800_0x0002	0x00000000	0	1	1	1	3	2	2
A	4	0x0000000000000044	1448921097.978703	1448924692.093996	3594.115293	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_184	IntelCor_IntelCor	0	unknown	184	184	5152	8464	28	28	28	0	0	49.95113	19.53324	10.24155	0.0511948	1.433454	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	4	0x0000000000000045	1448921097.978824	1448924692.093987	3594.115163	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_184	IntelCor_IntelCor	0	unknown	184	184	8464	5152	46	46	46	0	0	49.95113	19.53324	10.24158	0.0511948	2.354961	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	1	0x0000101000004000	1448921092.299128	1448924696.276096	3603.976968	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	64765	10.10.10.3	00	"private_reserved"	38229	17	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_5896399	IntelCor_IntelCor	38229	unknown	5896399	0	165099172	0	28	28	28	0	0	0.094258	0.0006227865	6.015635e-05	1636.081	45810.27	1	1	0x0100	0	0	64	64	0	0x00	0x0020	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	1	1
A	2	0x000018d000004000	1448921092.299133	1448924696.276101	3603.976968	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	0	10.10.10.3	00	"private_reserved"	0	17	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_5896394	IntelCor_IntelCor	0	unknown	5896394	0	23585576	0	4	4	4	0	0	0.094259	0.0006227843	6.03798e-05	1636.08	6544.319	1	1	0x0000	0	0	64	64	0	0x00	0x0108	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
