%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	ethVlanID	srcIP	srcIPCC	srcIPWho	srcPort	dstIP	dstIPCC	dstIPWho	dstPort	l4Proto	macPairs	srcMac_dstMac_numP	srcManuf_dstManuf	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipTOS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSz0	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpTmS	tcpTmER	tcpEcI	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStates	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmptmgtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	5	0x0000000000008000	1448918853.862197	1448918853.862197	0.000000	1	3	eth:ipv6:udp	0	fe80::21c:c0ff:feb0:195b	01	"private_reserved"	5353	ff02::fb	04	"multicast"	5353	17	1	00:1c:c0:b0:19:5b_33:33:00:00:00:fb_1	IntelCor_	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0100	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	6	0x0000000000004000	1448918868.457713	1448918868.457713	0.000000	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	5353	224.0.0.251	04	"Multicast"	5353	17	1	00:1c:c0:b0:19:5b_01:00:5e:00:00:fb_1	IntelCor_	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0100	65535	0	255	255	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5
A	3	0x0000000000004001	1448917186.538721	1448920886.378721	3699.840000	1	3	eth:ipv4:icmp	0	10.10.10.3	00	"private_reserved"	0	10.10.10.2	00	"private_reserved"	0	1	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_124	IntelCor_IntelCor	0	unknown	124	0	4464	0	36	36	36	0	0	30.08005	29.83741	2.155775	0.03351496	1.206539	1	1	0x0100	1	1	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x01	124	0x00000000_0x00000800_0x0002	0x00000000	0	1	1	1	3	2	2
A	4	0x0000000000000044	1448917208.448251	1448920910.591749	3702.143498	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_184	IntelCor_IntelCor	0	unknown	184	184	8464	5152	46	46	46	0	0	48.89516	20.12034	10.52166	0.04970093	2.286243	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	4	0x0000000000000045	1448917208.448263	1448920910.591759	3702.143496	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_184	IntelCor_IntelCor	0	unknown	184	184	5152	8464	28	28	28	0	0	48.89516	20.12034	10.52163	0.04970093	1.391626	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	2	0x0000185000004000	1448917169.647148	1448920912.229752	3742.582604	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	0	10.10.10.3	00	"private_reserved"	0	17	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_6043195	IntelCor_IntelCor	0	unknown	6043195	0	701010620	0	116	116	116	0	0	0.02243	0.0006287658	3.94178e-05	1614.713	187306.7	1	1	0x0000	0	0	64	64	0	0x00	0x0100	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	1	1
A	1	0x0000109000004000	1448917169.647142	1448920912.229754	3742.582612	1	3	eth:ipv4:udp	0	10.10.10.2	00	"private_reserved"	8441	10.10.10.3	00	"private_reserved"	19461	17	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_12086464	IntelCor_IntelCor	19461	unknown	12086464	0	1365761162	0	10	216	112.9992	102.9667	0	0.022423	0.0003113039	0.0003074188	3229.445	364924.8	1	1	0x0100	0	0	64	64	0	0x00	0x0028	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
