%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	ethVlanID	srcIP	srcIPCC	srcIPWho	srcPort	dstIP	dstIPCC	dstIPWho	dstPort	l4Proto	macPairs	srcMac_dstMac_numP	srcManuf_dstManuf	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipTOS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSz0	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpTmS	tcpTmER	tcpEcI	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStates	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmptmgtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	2	0x0000000000000044	1449085278.500283	1449088915.018531	3636.518248	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:27:0e:3b:a2:d0_00:1c:c0:1c:01:79_95	IntelCor_IntelCor	0	unknown	95	106	4370	2968	46	46	46	0	0	173.8866	38.27914	31.10082	0.02612389	1.201699	-0.05472637	0.1910602	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	2	0x0000000000000045	1449085278.500290	1449088915.018537	3636.518247	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:1c:01:79_00:27:0e:3b:a2:d0_106	IntelCor_IntelCor	0	unknown	106	95	2968	4370	28	28	28	0	0	115.793	34.30679	26.64671	0.02914876	0.8161653	0.05472637	-0.1910602	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	1	0x0000100000004000	1449085268.618256	1449088917.889932	3649.271676	1	3	eth:ipv4:icmp	0	10.10.10.2	00	"private_reserved"	0	10.10.10.3	00	"private_reserved"	0	1	1	00:27:0e:3b:a2:d0_00:1c:c0:1c:01:79_118888232	IntelCor_IntelCor	0	unknown	118888232	118727716	0	0	0	0	0	0	0	1.268241	7.018789e-05	0.002467374	32578.62	0	0.0006755439	0	0x0100	0	65535	64	64	0	0x00	0x0806	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	2e-06	1.113029	1.821482e-05	0.0009765703	0	-1	0x00	0x01	40	0x00000000_0x00000100_0x0001	0x245a0884	0.9986498	0	1	1	2	2	2
B	1	0x0000000000004001	1449085268.618263	1449088917.889941	3649.271678	1	3	eth:ipv4:icmp	0	10.10.10.3	00	"private_reserved"	0	10.10.10.2	00	"private_reserved"	0	1	1	00:1c:c0:1c:01:79_00:27:0e:3b:a2:d0_118727716	IntelCor_IntelCor	0	unknown	118727716	118888232	0	0	0	0	0	0	0	1.268246	7.017144e-05	0.002467984	32534.63	0	-0.0006755439	0	0x0100	1	49718	64	64	0	0x00	0x0806	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	3.993511e-06	1.268238	1.361729e-05	0.0008802312	3.183211e-05	0.001314723	0x00	0x01	36	0x00000000_0x00000001_0x0001	0x245a0884	0	0	1	1	1	1	1
